product_category,COD,ARTICULO,DESCRIPCION,PRECIO_MAS_ALTO,PRECIO_MAS_BAJO,PRECIO_POR_KILO,PRECIO_POR_CAJA,PRECIO_ANTERIOR,USD
Abarrotes,238,JUGO SAZONADOR PARA CARNE,POR PIEZA,,,,"65,00","65,00","3,18"
Abarrotes,239,SALSA TIPO INGLESA,POR PIEZA,,,,"65,00","65,00","3,18"
Abarrotes,240,SALSA DE SOYA,POR PIEZA,,,,"50,00","50,00","2,45"
Abarrotes,241,ABLANDADOR DE CARNES Y FINAS HIERBAS,POR PIEZA,,,,"65,00","65,00","3,18"
Abarrotes,242,AJO Y FINAS HIERBAS,POR PIEZA,,,,"65,00","65,00","3,18"
Abarrotes,243,JUGO PARA CARNES CON HIERBAS FINAS,POR PIEZA,,,,"65,00","65,00","3,18"
Abarrotes,244,PIMIENTA NEGRA CON SAL Y AJO,POR PIEZA,,,,"75,00","75,00","3,67"
Abarrotes,245,JAMAICA,IMPORTADA,"75,00","65,00",,"75,00","75,00","3,67"
Abarrotes,246,NUEZ WHICHA,ENTERA,"290,00","280,00",,,"290,00","14,21"
Abarrotes,247,NUEZ,PEDAZOS,"210,00","200,00",,,"210,00","10,29"
Abarrotes,248,PASA,CHILENA,"59,00","45,00",,,"59,00","2,89"
Abarrotes,249,PASA,NACIONAL,"49,00","39,00",,,"49,00","2,40"
Abarrotes,250,FRIJOl NEGRO,AMERICANO,"31,00","29,00",,,"31,00","1,52"
Abarrotes,251,FRIJOl NEGRO,BOLA,"32,00","30,00",,,"32,00","1,57"
Abarrotes,252,FRIJOl PINTO,SALTILLO,"28,00","26,00",,,"28,00","1,37"
Abarrotes,253,FRIJOl PINTO,AMERICANO,"30,00","28,00",,,"30,00","1,47"
Abarrotes,254,FRIJOl,PERUANO,"38,00","36,00",,,"38,00","1,86"
Abarrotes,255,FRIJOl,BAYO,"45,00","43,00",,,"45,00","2,20"
Abarrotes,256,FRIJOl,MEDIA OREJA,"25,00","23,00",,,"25,00","1,22"
Abarrotes,257,ARROZ,SINALOA,"19,00","17,00",,,"19,00","0,93"
Abarrotes,258,ARROZ,URUGUAYO,"25,00","22,00",,,"26,00","1,22"
Pescados y Mariscos,259,CAMARÓN,MATAMOROS,,,"$350,00",,"$350,00","$ 17,15"
Pescados y Mariscos,260,CAMARÓN,ESCUINAPA EXT G,,,"$370,00",,"$370,00","$ 18,13"
Pescados y Mariscos,261,CAMARÓN,ESCUINAPA S/CMED,,,"$350,00",,"$350,00","$ 17,15"
Pescados y Mariscos,262,CAMARÓN,CAMPECHE S/C,,,"$300,00",,"$300,00","$ 14,70"
Pescados y Mariscos,275,SALMÓN FRESCO,,"$455,00",,"$455,00",,"$455,00","$ 22,29"
Pescados y Mariscos,276,MEDALLÓN DE ATÚN,,"$295,00",,"$295,00",,"$295,00","$ 14,45"
Pescados y Mariscos,277,FILETE TILAPIA,,"$145,00",,"$145,00",,"$145,00","$ 7,10"
Pescados y Mariscos,278,FILETE BASA,,"$85,00",,"$85,00",,"$85,00","$ 4,16"
Pescados y Mariscos,279,CAMARÓN PACOTILLA,,"$295,00",,"$295,00",,"$295,00","$ 14,45"
Pescados y Mariscos,280,JAIBA EN CONCHA,,,,"$100,00",,"$100,00","$ 4,90"
Pescados y Mariscos,281,CINTILLA,,,,"$120,00",,"$120,00","$ 5,88"
Pescados y Mariscos,282,SURIMI,,,,"$145,00",,"$145,00","$ 7,10"
Pescados y Mariscos,283,MOJARRA,,,,"$125,00",,"$125,00","$ 6,12"
Pescados y Mariscos,284,CAZÓN,,,,"$140,00",,"$140,00","$ 6,86"
Pescados y Mariscos,285,SIERRA,,,,"$155,00",,"$155,00","$ 7,59"
Pescados y Mariscos,286,PULPO BABY,,,,"$315,00",,"$315,00","$ 15,43"
Pescados y Mariscos,287,PULPO 1-2,,,,"$260,00",,"$260,00","$ 12,74"
Pescados y Mariscos,288,PULPO 2-4,,,,"$315,00",,"$315,00","$ 15,43"
Pescados y Mariscos,289,PULPO 4-6,,,,"$380,00",,"$380,00","$ 18,62"
Pescados y Mariscos,290,PULPO COCIDO,,,,"$440,00",,"$440,00","$ 21,56"
Pescados y Mariscos,291,SALMÓN CHILENO,CONGELADO OCEAN,,,"$300,00",,,"$14,70"
Pescados y Mariscos,292,MEDALLÓN DE ATÚN,CONGELADO,,,"$210,00",,"$210,00","$10,29"
Pescados y Mariscos,293,CAMARON PACOTILLA,CONGELADO,,,"$300,00",,"$300,00","$14,70"
Pescados y Mariscos,294,FILETE DE BASA,CONGELADO SIN AGUA,,,"$85,00",,,"$4,16"
Pescados y Mariscos,295,SALMÓN FRESCO,,,,"$480,00",,"$480,00","$23,52"
Pescados y Mariscos,296,MEDALLÓN DE ATÚN,FRESCO,,,"$680,00",,"$680,00","$33,31"
Pescados y Mariscos,297,CAMARON PACOTILLA,FRESCO,,,"$300,00",,"$250,00","$14,70"
Pescados y Mariscos,298,MOJARRA ENTERA,FRESCA,,,"$125,00",,"$80,00","$6,12"
Pescados y Mariscos,299,SIERRA ENTERA,FRESCA,,,"$125,00",,"$80,00","$6,12"
Pescados y Mariscos,300,LANGOSTA FRESCA,MAZATLÁN,,,"$500,00",,"$500,00","$24,50"
Pescados y Mariscos,301,LANGOSTA FRESCA,DE CANCÚN,,,"$800,00",,"$800,00","$39,19"
Pescados y Mariscos,302,LANGOSTA VIVA,,,,"$1.300,00",,"$1.300,00","$63,69"
Pescados y Mariscos,303,JAIBA VIVA,,,,"$80,00",,"$80,00","$3,92"
Pescados y Mariscos,304,JAIBA FRESCA,,,,"$60,00",,"$60,00","$2,94"
Pescados y Mariscos,305,MOJARRA VIVA DE CULTIVO,,,,"$100,00",,"$100,00","$4,90"
Pescados y Mariscos,306,OSTIÓN DE CULTIVO,POR PIEZA,,,"$30,00",,"$30,00","$1,47"
Pescados y Mariscos,307,ALMEJA GENEROSA,POR PIEZA,,,"$400,00",,"$400,00","$19,60"
Pescados y Mariscos,308,RANA TORO VIVA,,,,"$450,00",,"$450,00","$22,05"
Cárnicos,309,CARNE RES FRESCA,CARNE DE RES,"$215,00","$210,00",,,,"$ 10,53"
Cárnicos,310,MOLIDA ECONÓMICA RES,CARNE DE RES,"$140,00","$135,00",,,,"$ 6,86"
Cárnicos,311,SUADERO/TAQUERO RES,CARNE DE RES,"$165,00","$160,00",,,,"$ 8,08"
Cárnicos,312,BISTEC REBANADO DE RES,CARNE DE RES,"$180,00","$175,00",,,,"$ 8,82"
Cárnicos,313,CORTES RES FINOS,CARNE DE RES,"$255,00","$250,00",,,,"$ 12,49"
Cárnicos,314,ARRACHERA AMERICANA,CARNE DE RES,"$370,00","$370,00",,,,"$ 18,13"
Cárnicos,315,AHUJAS NORTEÑAS,CARNE DE RES,"$195,00","$190,00",,,,"$ 9,55"
Cárnicos,316,FILETE RES LIMPIO,CARNE DE RES,"$270,00","$270,00",,,,"$ 13,23"
Cárnicos,317,FILETE RES SEMILIMPIO,CARNE DE RES,"$230,00","$230,00",,,,"$ 11,27"
Cárnicos,318,RETAZO RES,CARNE DE RES,"$145,00","$140,00",,,,"$ 7,10"
Cárnicos,319,CECINA DE RES,CARNE DE RES,"$205,00","$200,00",,,,"$ 10,04"
Cárnicos,320,MILANEZA DE CENTRO,CARNE DE RES,"$190,00","$180,00",,,,"$ 9,31"
Cárnicos,321,CHISTORRA,CARNE DE RES,"$135,00","$135,00",,,,"$ 6,61"
Cárnicos,322,CHORIZO ARGENTINO,CARNE DE RES,"$130,00","$130,00",,,,"$ 6,37"
Cárnicos,323,LENGUA DE RES CRUDA,CARNE DE RES,"$345,00","$345,00",,,,"$ 16,90"
Cárnicos,324,HAMBURGUESA RES,CARNE DE RES,"$215,00","$210,00",,,,"$ 10,53"
Cárnicos,325,ARRACHERA RINCON,CARNE DE RES,"$230,00","$230,00",,,,"$ 11,27"
Cárnicos,326,CARNE DE RES MAGRA,CARNE DE RES,"$255,00","$240,00",,,,"$ 12,49"
Cárnicos,327,HUESO RES,CARNE DE RES,"$3,00","$3,00",,,,"$ 0,15"
Cárnicos,328,GRASA RES,CARNE DE RES,"$45,00","$45,00",,,,"$ 2,20"
Cárnicos,329,TUÉTANO/PERICO (PZA),CARNE DE RES,"$50,00","$50,00",,,,"$ 2,45"
Cárnicos,330,CHULETA EN TROZO,CARNE DE CORDERO,"$180,00","$180,00",,,,"$ 8,82"
Cárnicos,331,MOLLEJA DE RES,CARNE DE RES,"$50,00","$50,00",,,,"$ 2,45"
Cárnicos,332,TRIPA DELGADA/GRUESA,CARNE DE RES,"$150,00","$150,00",,,,"$ 7,35"
Cárnicos,333,HIGADO/RIÑON DE RES,CARNE DE RES,"$60,00","$60,00",,,,"$ 2,94"
Cárnicos,334,CUAJO/CORAZON/CRIADILLAS,CARNE DE RES,"$40,00","$40,00",,,,"$ 1,96"
Cárnicos,335,BOFE DE RES,CARNE DE RES,"$25,00","$25,00",,,,"$ 1,22"
Cárnicos,336,PATA ENTERA,CARNE DE RES,"$50,00","$50,00",,,,"$ 2,45"
Cárnicos,337,PATA PICADA,CARNE DE RES,"$44,00","$44,00",,,,"$ 2,16"
Cárnicos,338,PANZA,CARNE DE RES,"$80,00","$80,00",,,,"$ 3,92"
Cárnicos,339,LIBRO/CACARIZO/SURTIDA,CARNE DE RES,"$85,00","$85,00",,,,"$ 4,16"
Cárnicos,340,RELLENA,CARNE DE RES,"$30,00","$30,00",,,,"$ 1,47"
Cárnicos,341,COLA DE RES,CARNE DE RES,"$100,00","$100,00",,,,"$ 4,90"
Cárnicos,342,MACIZA/BISTEC/MOLIDA/FALDA,CARNE DE CERDO,"$105,00","$105,00",,,,"$ 5,14"
Cárnicos,343,BISTEC REBANADO,CARNE DE CERDO,"$100,00","$100,00",,,,"$ 4,90"
Cárnicos,344,ESPINAZO,CARNE DE CERDO,"$100,00","$100,00",,,,"$ 4,90"
Cárnicos,345,LOMO,CARNE DE CERDO,"$100,00","$100,00",,,,"$ 4,90"
Cárnicos,346,MANITAS,CARNE DE CERDO,"$70,00","$70,00",,,,"$ 3,43"
Cárnicos,347,CABEZA DE CERDO,CARNE DE CERDO,"$48,00","$48,00",,,,"$ 2,35"
Cárnicos,348,ENCHILADA DE CERDO,CARNE DE CERDO,"$128,00","$128,00",,,,"$ 6,27"
Cárnicos,349,CABEZA DE LOMO,CARNE DE CERDO,"$100,00","$100,00",,,,"$ 4,90"
Cárnicos,350,CHULETA AHUMADA,CARNE DE CERDO,"$105,00","$105,00",,,,"$ 5,14"
Cárnicos,351,CAÑA DE LOMO,CARNE DE CERDO,"$105,00","$105,00",,,,"$ 5,14"
Cárnicos,352,LONGANIZA RANCHERITO,CARNE DE CERDO,"$85,00","$85,00",,,,"$ 4,16"
Cárnicos,353,LONGANIZA RINCON,CARNE DE CERDO,"$85,00","$85,00",,,,"$ 4,16"
Cárnicos,354,LONGANIZA PAY,CARNE DE CERDO,"$85,00","$85,00",,,,"$ 4,16"
Cárnicos,355,CORBATA,CARNE DE CERDO,"$90,00","$85,00",,,,"$ 4,41"
Cárnicos,356,CHICHARRON DELGADO,CARNE DE CERDO,"$135,00","$135,00",,,,"$ 6,61"
Frutas y Verduras,,Papa,,,,,,,
Cárnicos,357,CHICHARRON PRENSADO,CARNE DE CERDO,"$75,00",,,"$75,00",,"$ 3,67"
Cárnicos,358,TOCINO,CARNE DE CERDO,"$105,00",,,"$105,00",,"$ 5,14"
Cárnicos,359,CODILLO,CARNE DE CERDO,"$60,00",,,"$60,00",,"$ 2,94"
Cárnicos,360,PASTOR DE CERDO,CARNE DE CERDO,"$105,00",,,"$105,00",,"$ 5,14"
Cárnicos,361,SESOS DE CERDO (PIEZA),CARNE DE CERDO,"$100,00",,,"$100,00",,"$ 4,90"
Cárnicos,362,MANTECA,DE CERDO,"$40,00",,,"$40,00",,"$ 1,96"
Cárnicos,363,PIERNA ESPAÑOLA,CARNE DE CERDO,"$95,00",,,"$95,00",,"$ 4,65"
Cárnicos,364,NANA/BUCHE,CARNE DE CERDO,"$90,00",,,"$90,00",,"$ 4,41"
Cárnicos,365,CUERO,CARNE DE CERDO,"$30,00",,,"$30,00",,"$ 1,47"
Cárnicos,366,TAQUERO DE CERDO,CARNE DE CERDO,"$85,00",,,"$85,00",,"$ 4,16"
Cárnicos,367,PRENSADO NATURAL,CARNE DE CERDO,"$137,00",,,"$137,00",,"$ 6,71"
Cárnicos,368,CHULETA AHUMADA (PZA),CARNE DE CERDO,"$95,00",,,"$95,00",,"$ 4,65"
Cárnicos,369,HUESO CERDO,CARNE DE CERDO,"$3,00",,,"$3,00",,"$ 0,15"
Cárnicos,370,PIERNA CON HUESO,CARNE DE CERDO,"$84,00",,,"$84,00",,"$ 4,12"
Cárnicos,371,PECHO,DE CERDO,"$120,00",,,"$110,00",,"$ 5,88"
Cárnicos,372,GRASA,DE CERDO,"$45,00",,,"$45,00",,"$ 2,20"
Cárnicos,373,POLLO ENTERO,CARNE DE POLLO,"$70,00",,,"$70,00",,"$ 3,43"
Cárnicos,374,PIERNA CON MUSLO,CARNE DE POLLO,"$60,00",,,"$60,00",,"$ 2,94"
Cárnicos,375,PECHUGA,CARNE DE POLLO,"$110,00",,,"$110,00",,"$ 5,39"
Cárnicos,376,RETAZO,CARNE DE POLLO,"$20,00",,,"$20,00",,"$ 0,98"
Cárnicos,377,ALITAS NATURALES,CARNE DE POLLO,"$75,00",,,"$75,00",,"$ 3,67"
Cárnicos,378,ALAS ENCHILADAS,CARNE DE POLLO,"$180,00",,,"$180,00",,"$ 8,82"
Cárnicos,379,NUGGET/PALOMITA/TENDER,CARNE DE POLLO,"$125,00",,,"$125,00",,"$ 6,12"
Cárnicos,380,MUSLO,CARNE DE POLLO,"$75,00",,,"$75,00",,"$ 3,67"
Cárnicos,381,PULPA/MOLIDA,CARNE DE POLLO,"$165,00",,,"$165,00",,"$ 8,08"
Cárnicos,382,PASTOR DE POLLO,CARNE DE POLLO,"$110,00",,,"$110,00",,"$ 5,39"
Cárnicos,383,HAMBURGUESA,CARNE DE POLLO,"$100,00",,,"$100,00",,"$ 4,90"
Cárnicos,384,HUESO/GRASA/PIEL POLLO,CARNE DE POLLO,"$4,00",,,"$4,00",,"$ 0,20"
Cárnicos,385,PAVO NATURAL,PAVO,"$88,00",,,"$88,00",,"$ 4,31"
Cárnicos,386,PAVO AHUMADO,PAVO,"$126,00",,,"$126,00",,"$ 6,17"
Cárnicos,387,TT ARRACHERA,AMERICANA,"316,00",,,,316,"15,48"
Cárnicos,388,TT BISTEC,REBANADO DE RES,"162,00",,,,162,"7,94"
Cárnicos,389,TT COSTILLA DE RES,,"165,00",,,,165,"8,08"
Cárnicos,390,TT LENGUA DE RES CRUDA,,"287,00",,,,287,"14,06"
Cárnicos,391,TT MILANEZA DE CENTRO,,"162,00",,,,162,"7,94"
Cárnicos,392,TT MOLIDA DE RES,,"165,00",,,,165,"8,08"
Cárnicos,393,TT SUADERO,,"127,00",,,,127,"6,22"
Cárnicos,394,TT CABEZA DE LOMO,,"85,00",,,,85,"4,16"
Cárnicos,395,TT CHULETA AHUMADA,,"95,00",,,,95,"4,65"
Cárnicos,396,TT LONGANIZA PAY,,"80,00",,,,80,"3,92"
Cárnicos,397,TT MANTECA,,"40,00",,,,40,"1,96"
Cárnicos,398,TT PAPADA,,"78,00",,,,78,"3,82"
Cárnicos,399,TT PIERNA SIN HUESO,DE CERDO,"85,00",,,,85,"4,16"
Cárnicos,400,TT TOCINO,,"95,00",,,,95,"4,65"
Cárnicos,401,TT PECHUGA APLANADA,,"150,00",,,,150,"7,35"
Cárnicos,402,TT PEGHUGA ENTERA,,"100,00",,,,100,"4,90"
Cárnicos,403,TT PIERNA CON MUSLO,,"55,00",,,,55,"2,69"
Cárnicos,404,TT BORREGO FRESCO,,"154,00",,,,154,"7,54"
Cárnicos,405,TT ARRACHERA FILETEADA,AMERICANA,"320,00",,,,320,"15,68"
Cárnicos,406,TT ARRACHERA RINCON,,"195,00",,,,195,"9,55"
Cárnicos,407,TT CODILLO,,"55,00",,,,55,"2,69"
Cárnicos,408,TT PULPA RES VF,,"145,00",,,,145,"7,10"
Cárnicos,409,TT CORTES FINOS,,"175,00",,,,175,"8,57"
Cárnicos,410,TT CHISTORRA,,"115,00",,,,115,"5,63"
Cárnicos,411,TT TOCINO CON PIEL,,"160,00",,,,160,"7,84"
Pescados y Mariscos,416,CAMARONES NATURALES,LOTUS,120.00,,,,120.00,5.88
Cremería y Salchichonería,463,CHETO,QUESO,"$56,00",,,"$315,00","$55,00","$ 2,74"
Cremería y Salchichonería,464,CHETO,BOLITA,"$56,00",,,"$295,00","$55,00","$ 2,74"
Cremería y Salchichonería,465,PALOMITAS,MANTEQUILLA,"$65,00",,,,"$65,00","$ 3,18"
Cremería y Salchichonería,466,PALOMITAS,QUESO,"$65,00",,,,"$65,00","$ 3,18"
Cremería y Salchichonería,467,RUEDITAS,,"$56,00",,,,"$56,00","$ 2,74"
Cremería y Salchichonería,468,LAGRIMITAS,,"$56,00",,,,"$56,00","$ 2,74"
Cremería y Salchichonería,469,PAPA FRITA,,"$130,00",,,,"$130,00","$ 6,37"
Avícola,H1,HUEVO CALVARIO,,,,"$48,90",,"$48,90","$ 2,40"
Avícola,H2,HUEVO INDUSTRIAL,,,,"$34,90",,"$36,90","$ 1,71"
Avícola,H3,HUEVO CRIO,,,,"$41,50",,"$42,90","$ 2,03"
Avícola,H4,HUEVO SAN JUAN,,,,"$49,00",,"$49,00","$ 2,40"
Avícola,H5,HUEVO BRETTON,,,,"$41,00",,"$43,00","$ 2,01"
Abarrotes,470,ACEITE DE SOYA,NUTRIOLI 800ML,34.10,,,,35.00,1.67
Abarrotes,471,AZÚCAR STANDART,1K,20.00,,,,20.00,0.98
Abarrotes,472,AZÚCAR MOSCABADO,GENUINO METCO 1K,63.00,,,,63.00,3.09
Abarrotes,473,ARROZ,VERDE VALLE 1K,29.90,,,,37.00,1.46
Abarrotes,474,ARROZ,SOS AZUL 1K,26.70,,,,32.30,1.31
Abarrotes,475,ATÚN EN ACEITE,DOLORES 133G,18.60,,,,21.50,0.91
Abarrotes,476,ATÚN EN AGUA,DOLORES 133G,18.60,,,,21.50,0.91
Abarrotes,477,AVENA,3 MINUTOS 380G,23.60,,,,23.60,1.16
Abarrotes,478,AVENA,QUAKER 475G,44.30,,,,53.70,2.17
Abarrotes,479,CAFE LEGAL,180G,74.20,,,,80.70,3.64
Abarrotes,480,CAFÉ NESCAFÉ,200G,105.20,,,,114.40,5.15
Abarrotes,481,CEREAL CHOCOKRISPIS,KELLOGG'S 540G,79.30,,,,88.20,3.88
Abarrotes,482,CEREAL CORN FLAKES,KELLOGG'S 410G,53.80,,,,59.80,2.64
Abarrotes,483,CEREAL ZUCARITAS,KELLOGG'S 600G,78.50,,,,85.40,3.85
Abarrotes,484,CHICHAROS CON ZANAHORIA,HERDEZ 400G,18.90,,,,20.60,0.93
Abarrotes,485,CHILES CHIPOTLES,SAN MARCOS 100G,12.40,,,,15.20,0.61
Abarrotes,486,CHILES CHIPOTLES,LA COSTEÑA 105G,14.00,,,,14.80,0.69
Abarrotes,487,CHOCOLATE,NESQUIK 357G,37.90,,,,38.40,1.86
Abarrotes,488,CHOCOLATE,ABUELITA 6PZAS,84.40,,,,87.10,4.13
Abarrotes,489,ENSALADA DE LEGUMBRES,HERDEZ 220G,9.50,,,,10.00,0.47
Abarrotes,490,FÉCULA DE MAIZ,SABORES ΜΑΙΖΕΝΑ,9.30,,,,9.60,0.46
Abarrotes,491,FRIJOL FLOR DE MAYO,A GRANEL,47.50,,,,51.70,2.33
Abarrotes,492,FRIJOL NEGRO,AMERICANO A GRANEL,34.30,,,,37.30,1.68
Abarrotes,493,FRIJOL PINTO,AMERICANO A GRANEL,36.50,,,,39.70,1.79
Abarrotes,494,FRIJOLES BAYOS REFRITOS,LA COSTEÑA 580G,15.70,,,,17.10,0.77
Abarrotes,495,FRIJOLES NEGROS REFRITOS,LA COSTEÑA 580G,15.70,,,,17.10,0.77
Abarrotes,496,GELATINA D'GARI,120G,10.60,,,,10.70,0.52
Abarrotes,497,HARINA DE ARROZ,TRES ESTRELLAS 250G,13.50,,,,14.70,0.66
Abarrotes,498,HARINA DE TRIGO,TODO USO 1K,17.80,,,,21.60,0.87
Abarrotes,499,HARINA PARA HOTCAKES,GAMESA 850G,42.20,,,,45.90,2.07
Abarrotes,500,JABÓN DE TOCADOR,ZEST 135 G,17.30,,,,18.90,0.85
Abarrotes,501,JABÓN DE TOCADOR,PALMOLIVE 120 G,14.90,,,,19.20,0.73
Abarrotes,502,JALAPEÑOS EN RAJAS,LA COSTEÑA 220G,13.60,,,,15.30,0.67
Abarrotes,503,LECHE EN POLVO,NIDO CLÁSICA 1.56K,262.40,,,,285.30,12.86
Abarrotes,504,LECHE EN POLVO,NUTRI RINDES 460G,61.10,,,,66.50,2.99
Abarrotes,505,MAYONESA CON LIMON,McCORMICK 105G,16.80,18.30,,,,0.82
Abarrotes,506,MEDIAS NOCHES,BIMBO 340G,44.60,48.50,,,,2.18
Abarrotes,507,MERMELADA FRESA,McCORMICK 270G,24.60,23.70,,,,1.21
Abarrotes,508,MOSTAZA,McCORMICK 210G,16.80,17.10,,,,0.82
Abarrotes,509,PAN BLANCO,BIMBO GDE 640G,47.00,51.10,,,,2.30
Abarrotes,510,PAN INTEGRAL,WONDER GDE 567G,56.40,61.40,,,,2.76
Abarrotes,511,PAN MOLIDO CLASICO,BIMBO 210G,28.40,30.90,,,,1.39
Abarrotes,512,PAN TOSTADO,BIMBO 210G,32.40,35.30,,,,1.59
Abarrotes,513,PAPEL HIGIENICO,"PETALO 300H, 4 R",20.40,20.90,,,,1.00
Abarrotes,514,PAPEL HIGIENICO,REGIO RINDE 400H+ 4 R,26.00,26.50,,,,1.27
Abarrotes,515,PASTA BARILLA,SPAGUETTI #5 500G,22.90,23.40,,,,1.12
Abarrotes,516,PASTA DENTAL,COLGATE TRIPLE ACC 75ML,18.20,21.80,,,,0.89
Abarrotes,517,PASTA DENTAL,CREST COMPLETE 100ML,23.10,28.20,,,,1.13
Abarrotes,518,PURE DE TOMATE,LA COSTEÑA 350G,16.10,16.50,,,,0.79
Abarrotes,519,PURE DE TOMATE,DEL FUERTE 210G,8.10,8.00,,,,0.40
Abarrotes,520,SALSA CATSUP,DEL MONTE 320G,15.50,16.90,,,,0.76
Abarrotes,521,SALSA CATSUP,CLEMENTE J 340G,16.80,16.80,,,,0.82
Abarrotes,522,SALSA INGLESA,C&B 145ML,34.30,34.80,,,,1.68
Abarrotes,523,SALSA VALENTINA,ETIQUETA AMARILLA,13.10,14.50,,,,0.64
Abarrotes,524,SALSA VALENTINA,ETIQUETA NEGRA,15.60,16.40,,,,0.76
Abarrotes,525,SARDINA EN TOMATE,DOLORES 425G,34.40,44.80,,,,1.69
Abarrotes,526,SERVILLETAS,PETALO 420 PZAS,43.50,44.00,,,,2.13
Abarrotes,527,SERVILLETAS,MARLI 250 PZAS,21.10,23.00,,,,1.03
Abarrotes,528,SERVITOALLAS,REGIO RINDE + 250PZAS,23.00,23.50,,,,1.13
Abarrotes,529,SERVITOALLAS,ELITE MEGAROLLO,17.70,18.20,,,,0.87
Abarrotes,530,SHAMPOO,CAPRICE ESP 750ML,41.00,54.10,,,,2.01
Abarrotes,531,SHAMPOO,PALMOLIVE OPT 700ML,91.70,104.30,,,,4.49
Abarrotes,532,SOPADEPASTA,SPAGUETTI LA MODERNA 200G,6.70,7.10,,,,0.33
Abarrotes,533,SOPADEPASTA,FIDEO #0 LA MODERNA 200G,6.70,7.10,,,,0.33
Abarrotes,534,SOPADEPASTA,CODITO #3 LA MODERNA 200G,6.70,7.10,,,,0.33
Abarrotes,535,SUSTITUTO DE CREMA,COFFE MATE 160G,33.10,33.60,,,,1.62
Abarrotes,536,SUSTITUTO DE CREMA,LAUTREC 1K,110.30,119.90,,,,5.40
Abarrotes,537,TE MANZANILLA,McCORMICK 25 SOBRES,19.40,21.10,,,,0.95
Abarrotes,538,TE MANZANILLA,LAGG'S 24 SOBRES,19.80,23.30,,,,0.97
Abarrotes,539,TOALLAS FEMENINAS,KOTEX ANATOMICA 10 PZAS,16.90,18.40,,,,0.83
Abarrotes,540,TOALLAS FEMENINAS,SABA REGULAR 10 PZAS,19.10,20.80,,,,0.94
Abarrotes,541,TOALLAS HUMEDAS,ABSORSEC 90 PZAS,22.30,24.20,,,,1.09
Abarrotes,542,TOSTADAS,CHARRAS 300G,28.60,31.10,,,,1.40
Abarrotes,543,VINAGRE MANZANA,BARRILITO 750ML,19.70,21.40,,,,0.97
